"","Year","Mean"
"1",1962,22.5848901098901
"2",1963,22.4569863013699
"3",1964,21.6313725490196
"4",1965,22.7005555555556
"5",1966,22.5125766871166
"6",1967,23.1449315068493
"7",1968,22.4715846994536
"8",1969,22.2991643454039
"9",1970,26.0502762430939
"10",1971,22.2967032967033
"11",1972,23.0368852459016
"12",1973,21.9299168975069
"13",1974,21.7372222222222
"14",1975,22.7161559888579
"15",1976,22.4589531680441
"16",1977,22.8760989010989
"17",1978,22.2118131868132
"18",1979,22.8475138121547
"19",1980,23.2569060773481
"20",1981,23.0354395604396
"21",1982,23.7483333333333
"22",1983,22.3761235955056
"23",1984,22.2892561983471
"24",1985,22.6709141274238
"25",1986,21.7839779005525
"26",1987,22.485593220339
"27",1988,23.2381868131868
"28",1989,22.4239010989011
"29",1990,23.1197802197802
"30",1991,23.038904109589
"31",1992,21.456043956044
"32",1993,22.5156164383562
"33",1994,23.2046575342466
"34",1995,22.0706043956044
"35",1996,21.9554644808743
"36",1997,23.4653846153846
"37",1998,31.9133333333333
"38",1999,20.5559241706161
"39",2000,23.2421917808219
"40",2001,23.3969613259668
"41",2002,24.0180821917808
"42",2003,23.0268493150685
"43",2004,23.2074380165289
"44",2005,23.3637362637363
"45",2006,24.0032876712329
"46",2007,24.2623626373626
"47",2008,23.4812849162011
"48",2009,24.365564738292
"49",2010,22.8
"50",2011,23.1494413407821
"51",2012,23.2634615384615
"52",2013,24.2978021978022
"53",2014,24.6424657534247
"54",2015,22.0504132231405
